t,o,h,l,c
1782829200,30365,30423,30349.5,30411
1782829500,30411.75,30424.5,30383.25,30410.25
1782829800,30410.75,30440.75,30403,30440
1782830100,30439.75,30442.5,30386.75,30406.75
1782830400,30405.5,30420.5,30369.5,30411.75
1782830700,30412.75,30412.75,30345.5,30352.25
1782831000,30352,30378.5,30310.5,30317
1782831300,30316.25,30346.25,30282.25,30305.25
1782831600,30305.25,30371,30299.75,30368
1782831900,30368,30391.5,30358.75,30385.25
1782832200,30385.75,30410,30360.25,30401.5
1782832500,30400.5,30407.25,30369,30381
1782832800,30380.75,30403.5,30373.75,30394.5
1782833100,30394.25,30416,30391,30410.75
1782833400,30410.25,30431.75,30398.5,30430.25
1782833700,30430.75,30433.5,30401.75,30409
1782834000,30409.25,30427,30393.75,30415.5
1782834300,30415.5,30440,30415,30431.75
1782834600,30432.25,30470.5,30429.75,30467.5
1782834900,30467.25,30482,30459.25,30459.75
1782835200,30460.5,30487.75,30452.5,30483.5
1782835500,30483.5,30496,30479.75,30484
1782835800,30483.75,30489.5,30474.25,30487.75
1782836100,30487.75,30508.25,30482.25,30501.5
1782836400,30500.75,30504.25,30486.75,30497.5
1782836700,30496.5,30509,30486.75,30494.25
1782837000,30495,30501.75,30477.5,30485.75
1782837300,30486,30500.5,30485,30500
1782837600,30499.5,30514,30493.25,30511.75
1782837900,30511.75,30538.25,30509.5,30538
1782838200,30537.5,30546.5,30529.75,30543.5
1782838500,30543,30546.25,30520.5,30528
1782838800,30528.25,30557.75,30525.75,30550.5
1782839100,30551,30562.75,30544.75,30555.5
1782839400,30555.5,30556.25,30534.75,30535
1782839700,30536.25,30545.5,30530,30542
1782840000,30543.25,30554.25,30533.5,30539.75
1782840300,30539.5,30543.25,30524.75,30530
1782840600,30530.75,30532.75,30515.75,30530.75
1782840900,30530,30539.25,30518.5,30521.75
1782841200,30520.75,30545.25,30519.25,30543.25
1782841500,30543,30545.75,30521.75,30524.75
1782841800,30524.75,30533.5,30515.75,30528
1782842100,30527.75,30531.25,30519.75,30524.5
1782842400,30524.75,30540.25,30517.5,30529.5
1782842700,30528.75,30537.5,30498.75,30531.75
1782843000,30530.75,30535.75,30523,30525.5
1782843300,30525.5,30543.25,30519,30541.25
1782843600,30542,30549,30531,30531.5
1782843900,30531.25,30537.75,30528.25,30533.75
1782844200,30533.5,30537.5,30523,30530
1782844500,30528.75,30539.25,30527,30530
1782844800,30529.75,30557.75,30528.5,30554
1782845100,30554,30568,30544.75,30566.25
1782845400,30566,30575.25,30542.5,30547
1782845700,30547,30562.25,30545.75,30554.5
1782846000,30554,30570.75,30552.5,30564.25
1782846300,30564.5,30581.75,30552,30578.75
1782846600,30578.5,30593,30571.75,30591.5
1782846900,30591,30599.75,30576.25,30580
